"id (S)","color (L)","earringElement (L)","earringPrice (N)","earringRemovedBgImg (S)","earringStyle (L)","earringThumbnailUrl (S)","shopName (S)","shopUrl (S)","earringName (S)"
"00011","[  { ""S"" : ""핑크"" },  { ""S"" : ""실버"" },  { ""S"" : ""골드"" }]","[  { ""S"" : ""크리스탈"" },  { ""S"" : ""CZ"" },  { ""S"" : ""신주"" },  { ""S"" : ""로즈골드도금"" },  { ""S"" : ""골드도금"" },  { ""S"" : ""백금도금"" }]","17500","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573388114/%EC%82%AC%EA%B3%84_eaiuam.png","[  { ""S"" : ""세련"" },  { ""S"" : ""화려"" },  { ""S"" : ""우아"" },  { ""S"" : ""모던"" },  { ""S"" : ""트레디셔널"" }]","https://wingbling.co.kr/web/product/tiny/201909/59c1158c4ad7c3e6df56c0437e0fcce2.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1988&cate_no=180&display_group=1","사계 귀걸이"
"00012","[  { ""S"" : ""핑크"" }]","[  { ""S"" : ""크리스탈"" },  { ""S"" : ""CZ"" },  { ""S"" : ""신주"" },  { ""S"" : ""로즈골드도금"" },  { ""S"" : ""실버침"" }]","31800","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573389288/%EB%A7%A4%EC%A7%81%EC%95%84%EC%9B%8C_pqsbsq.png","[  { ""S"" : ""세련"" },  { ""S"" : ""모던"" }]","https://wingbling.co.kr/web/product/tiny/201909/1ea4816d40808ca2e9156b0d6fa5a7c7.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=2002&cate_no=180&display_group=1","매직아워 귀걸이"
"00013","[  { ""S"" : ""핑크"" },  { ""S"" : ""실버"" }]","[  { ""S"" : ""백금도금"" },  { ""S"" : ""CZ"" },  { ""S"" : ""신주"" },  { ""S"" : ""로즈골드도금"" },  { ""S"" : ""실버침"" }]","15000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573389287/%EA%BD%83%ED%94%BC%EB%8A%94_eyqwen.png","[  { ""S"" : ""순수"" },  { ""S"" : ""우아"" },  { ""S"" : ""모던"" },  { ""S"" : ""트레디셔널"" }]","https://wingbling.co.kr/web/product/tiny/201909/63638cf5a566844c96709014658b4e96.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1746&cate_no=180&display_group=1","꽃이피는날 귀걸이"
"00014","[  { ""S"" : ""골드"" }]","[  { ""S"" : ""티타늄침"" },  { ""S"" : ""CZ"" },  { ""S"" : ""신주"" },  { ""S"" : ""로즈골드도금"" }]","17000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573389287/%EC%83%90%EB%A6%AC%EC%95%84%EB%82%98_yc5pas.png","[  { ""S"" : ""세련"" },  { ""S"" : ""우아"" }]","https://wingbling.co.kr/web/product/tiny/201909/ad8eca5291d26e472aba131d413bb81f.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1747&cate_no=180&display_group=1","셀리아나 귀걸이"
"00015","[  { ""S"" : ""핑크"" },  { ""S"" : ""골드"" },  { ""S"" : ""실버"" }]","[  { ""S"" : ""백금도금"" },  { ""S"" : ""CZ"" },  { ""S"" : ""신주"" },  { ""S"" : ""로즈골드도금"" },  { ""S"" : ""실버침"" }]","22500","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573389287/%ED%94%8C%EB%A1%9C%EB%A0%8C%EC%8A%A4_wwvuis.png","[  { ""S"" : ""세련"" },  { ""S"" : ""우아"" }]","https://wingbling.co.kr/web/product/tiny/201811/2591476950bd447f415860a236a9c6de.jpg","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1600&cate_no=180&display_group=1","플로렌스 귀걸이"
"00016","[  { ""S"" : ""핑크"" },  { ""S"" : ""골드"" },  { ""S"" : ""실버"" }]","[  { ""S"" : ""합성석"" },  { ""S"" : ""CZ"" },  { ""S"" : ""신주"" },  { ""S"" : ""로즈골드도금"" },  { ""S"" : ""실버침"" },  { ""S"" : ""골드도금"" },  { ""S"" : ""백금도금"" }]","29500","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573389287/%EB%A3%A8%EB%82%98%EC%9D%B4%ED%8E%99_cvztwn.png","[  { ""S"" : ""세련"" },  { ""S"" : ""모던"" },  { ""S"" : ""트레디셔널"" }]","https://wingbling.co.kr/web/product/tiny/201910/67560460cae56fba90ecea20651c0deb.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1548&cate_no=180&display_group=1","루나이펙트 귀걸이"
"00017","[  { ""S"" : ""핑크"" },  { ""S"" : ""골드"" },  { ""S"" : ""실버"" }]","[  { ""S"" : ""합성석"" },  { ""S"" : ""CZ"" },  { ""S"" : ""신주"" },  { ""S"" : ""흑진주도금"" },  { ""S"" : ""실버침"" },  { ""S"" : ""골드도금"" }]","19500","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573389613/%EA%B0%80%EC%9D%84%EB%82%AD%EB%A7%8C%EA%B8%B8_noa6qh.png","[  { ""S"" : ""세련"" },  { ""S"" : ""심플"" },  { ""S"" : ""순수"" },  { ""S"" : ""모던"" }]","https://wingbling.co.kr/web/product/tiny/201910/78dd4e04f52b7c230e703f787d7247e3.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=2025&cate_no=180&display_group=1","가을낭만길 귀걸이"
"00018","[  { ""S"" : ""핑크"" },  { ""S"" : ""골드"" }]","[  { ""S"" : ""골드도금"" },  { ""S"" : ""CZ"" },  { ""S"" : ""신주"" },  { ""S"" : ""진주"" },  { ""S"" : ""실버침"" },  { ""S"" : ""로즈골드도금"" }]","26500","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573389613/%EC%95%84%EC%9D%B4%EC%97%98%EB%A3%A8%EB%82%98_t0gwu2.png","[  { ""S"" : ""세련"" },  { ""S"" : ""심플"" }]","https://wingbling.co.kr/web/product/tiny/201910/f2bc2bd2aff2245ad578bb4caf5c6b8f.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=2047&cate_no=180&display_group=1","아리엘루나 귀걸이"
"00019","[  { ""S"" : ""핑크"" },  { ""S"" : ""실버"" }]","[  { ""S"" : ""크리스탈"" },  { ""S"" : ""신주"" },  { ""S"" : ""백금도금"" },  { ""S"" : ""실버침"" },  { ""S"" : ""골드도금"" },  { ""S"" : ""로즈골드도금"" }]","13500","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573389613/%EC%81%98%EB%9D%A0_ocylos.png","[  { ""S"" : ""세련"" },  { ""S"" : ""우아"" },  { ""S"" : ""화려"" }]","https://wingbling.co.kr/web/product/tiny/201810/60a60278985528e0ab89f9b8be5d862a.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1565&cate_no=180&display_group=1","쁘띠드레스 귀걸이"
"00020","[  { ""S"" : ""핑크"" },  { ""S"" : ""골드"" }]","[  { ""S"" : ""큐빅"" },  { ""S"" : ""신주"" },  { ""S"" : ""실버침"" },  { ""S"" : ""골드도금"" },  { ""S"" : ""로즈골드도금"" }]","14000","https://res.cloudinary.com/ds1ru5ibz/image/upload/v1573389613/%ED%97%A4%EC%9D%B4%EB%AF%B8%EC%89%AC_lukkjf.png","[  { ""S"" : ""모던"" },  { ""S"" : ""심플"" },  { ""S"" : ""우아"" }]","https://wingbling.co.kr/web/product/tiny/201903/f30d48cd7add4943be57c641fc28b68e.gif","Wingbling","https://wingbling.co.kr/product/detail.html?product_no=1726&cate_no=180&display_group=1","헤이미쉬 귀걸이"
